model,Data,train_mae,val_mae,train_rmse,val_rmse,train_r2,val_r2
Linear Regression pred,PM10 t+1,3.0094347994710064,3.1024288256499846,8.082101841765983,7.821346990008981,0.9088542309698406,0.9084268703259886
Linear Regression pred,PM10 t+3,8.112160993746702,8.497916084278927,19.56948166594816,18.999957957651926,0.4661448986897868,0.49668839702585854
Linear Regression pred,PM10 and Weather t+1,3.059081675228112,3.1489010264915342,8.252861632049225,7.885573392514736,0.9062755492848288,0.9013873942853351
Linear Regression pred,PM10 and Weather t+3,8.227144271747907,8.674921083693356,19.72405245733505,19.24309127362013,0.4653598055709665,0.4783727736897713
Linear Regression val,PM10 t+1,2.855469484160756,2.915726180881761,5.029992963408881,4.833530212589487,0.9267181897474893,0.93857710036675
Linear Regression val,PM10 t+3,7.173679764928714,7.6393415078260345,10.75356657264986,11.222374758413668,0.6657896773601316,0.672069040415626
Linear Regression val,PM10 and Weather t+1,2.832970016520215,2.921587618169797,4.9841645623655335,4.83235285842205,0.9280813070288735,0.9385167086196635
Linear Regression val,PM10 and Weather t+3,7.020505578003752,7.509695357266142,10.551692924855974,11.092947256694956,0.6783631629457559,0.6788942325490319
Random Forest pred,PM10 t+1,2.293547336111004,2.9876476805264254,6.520250979795745,8.786797987960146,0.9368029372829534,0.8834697288094308
Random Forest pred,PM10 t+3,5.833100750989784,6.999973950036553,15.466570667216928,16.564415113092696,0.6663711493536464,0.6165570662913057
Random Forest pred,PM10 and Weather t+1,2.2767499526859756,3.0509526410507313,6.90911512011716,9.142577276318658,0.9215812569509596,0.8725271131903641
Random Forest pred,PM10 and Weather t+3,5.004422815877236,7.06226323516479,14.448439412152146,16.513602058799854,0.7122729125830006,0.6209684381238268
Random Forest val,PM10 t+1,2.1946985017529608,3.157058161233474,3.7490917941235993,5.367709804470814,0.9591683399631687,0.9191705505590917
Random Forest val,PM10 t+3,5.733024747641345,7.696692368299368,8.411149051071506,11.11607852188823,0.7953671022055901,0.6766378898424497
Random Forest val,PM10 and Weather t+1,2.1522487892337905,3.2328975852629354,3.862149430333171,5.541693630143554,0.9553479995021752,0.9147094555107611
Random Forest val,PM10 and Weather t+3,4.843556147812763,7.831303479601213,7.266420593907213,11.22008880228858,0.8466526953977407,0.6704458497033037
XGBoost pred,PM10 t+1,2.765522288966197,3.3662895821767385,7.180231060766543,9.954855274998001,0.9274786409870938,0.859241176443547
XGBoost pred,PM10 t+3,6.399482824744739,7.320237399818259,15.43014625778979,16.61119676529716,0.667928500504557,0.6110579763114208
XGBoost pred,PM10 and Weather t+1,2.429454240698605,3.5137714079566487,4.562637492750028,9.568580736292992,0.9711409579320843,0.8572033200021216
XGBoost pred,PM10 and Weather t+3,6.666560488996133,7.5331187592232025,15.640308635415938,16.80403047419224,0.6638789450777247,0.6049159183887566
XGBoost val,PM10 t+1,2.53446329404424,3.3247302279801625,3.926442086408862,5.630740892577929,0.955702524199547,0.9121218530930557
XGBoost val,PM10 t+3,6.580510943661041,7.7034226985712255,9.417664024512051,11.057730361275198,0.7443423454267089,0.6801481740593474
XGBoost val,PM10 and Weather t+1,2.3850045167230736,3.3946384504960916,3.763189709884196,5.709875154895146,0.9592575287157681,0.9103386400431546
XGBoost val,PM10 and Weather t+3,5.936029500558805,7.7351357310998,8.251434358541573,10.977598450987404,0.7979505087043057,0.6811787218780296
